0
공인 회계사 최종 합격자 카이스트 컴공 취업 걱정 세상
카이스트 물리학 컴공 복수 전공 분 때문 취업 쉬다 않다 대학 출신 힘들다 상상 알다
다 들다 멀다 이야기 라고 생각 지금 만 보다 재연 대역 배우 아니다 그냥 영상 다 대체 하고 벌써 시작 하고
회계사 대체 되다 정도 면 이미 컴퓨터 앉다 대부분 사무직 전멸
앞 살아가다 내 자식 청년 미래 너무 불투명하다 안타깝다 서글프다
걸치다 버스안내양 합격 자동 문 나오다 버리다 꼴
숫자 다루다 업무 특히 가다
개발 자다 그냥 기 도합 니 다 제발 기술 공리 행복 증진 방향 발전 되다 기르다 개인 발버둥치다 대비 거나 바꾸다 수 수준 아니다 그야말로 대혁명 불의 발견 전기 발견 거나 느껴지다
정말 어렵다 시험 인데 그걸 따다 백수 라니 너무 안타깝다
유튜브 회계사 합격 하고 가족 울면 서 전화하다 합격자 상보 니 진짜 허무하다
문과 사무직 인데 불과 전 만해 주변 퇴사 하고 코딩 교육 받다 개발자 재 취업 사람 은근 시장 이렇게 와장창 무너지다
합격 증 받다 저렇게 비닐 싸다 보관 정도 면 그만큼 진심 이고 그만큼 인생 중요하다 순간 이라고 생각 진짜 타이밍 안좋다 듯 인공 지능 충분하다 다 대신 수 지경 올 걸 누가 알다
공인 회계사 합격 갈아 넣다 자격증 땃을텐데 세상 이렇게 변하다 버리다 너무 슬프다
대다 다니다 교수 님 왈 컴공 개발자 구인 구직 인문 학과 보다 더 떨어지다 상황 이르다 갑자기 이렇게 세상 변하다 누가 알다
회계사 라고 오다 알 주다 직업 군 이다 너무 안타깝다
근데 내 가보 엔 지금 스펙 이고 나발 고간 취업 시장 자체 너무 좁다 그냥 취업 힘드다 맞다
시대 예측 못 시대 너무 빠르다 아니다
이미 전망 없다 직업 청춘 바치다 편견 버리다 다양하다 직업 도전 함
회사 경리 회계 더존 프로그램 처음 나오다 경리 부 직원 많이 짤렸 지 분개 기장 더존 프로그램 해 버리다 과장 급 신입 사원 다 일이 되다 획기 적 인 사건 이다
뭐 먹고살다 진짜 먹고살다 힘드다
본질 컴퓨터 앞 앉다 다 대체 되다 거 다
제일 먼저 없어지다 무방 하고 대체 되다 바라다 직업 대한민국 판사 들이다
상중 간 에도 미나 광고 나오다 시 대의 흐름 이다
인터뷰 찍다 카메라 에도 탑재 되다 전문 카메라맨 사라지다
필요없다 공부 너무 많다 인원 뽑다
옛날 은행원 회계사 세무사 변호사 없어지다 직업 이라고 점점 희미하다 정말로
회계사 세무사 진짜 이제 답 없다
세상 변화 속도 너무 빠르다
앞 으로는 주니어 이다 중간 급 사라지다
헐다 심하다 추적 분 나오다 정도 니
노력 배신 대가 오다
검수 고 인물 능력자 빼다 신규 중간 관리자 안 뽑다 미국 피 바람 불다
병찬 이제 짬 안전하다 사다리 걷어차다 보다
과거 자의 의하다 취업 유예 이다 지금 타의 의하다 취업 절벽 죠
진짜 서글프다 세 상이 요 힘드다 시험 인데 허망 요
차다 서글프다 노력
회계 더 안타깝다 적용 더 간단하다
전 쯤 미래 대체 되다 직업 이라는 리스트 보고 친구 랑 이야기 한적 그게 진짜 현실 돼다
출장 다니다 서버 구축 하고 부품 고치다 유지 보수 엔지니어 입 풀칠 겁니다
세상 진짜 빠르다 변하다
재무관리 경영학 경제학 시험 보다 쓸데없이 난이도 높이다 수험생 괴롭히다 시험 시험 임 본질 가치 대비 고 평가 되어다 온 자격증
모든 사무 직종 때문 어시 더 빨리 더 깔끔하다 처리 해주다 실무 결 정권 입장 어시 필요 없어지다
차다 인생 알 수 없다 게 전 용산 밥 먹다 옆 테이블 삼일 회계사 회식 중 더 라 아모레 사옥 삼일이 아마 나이 대 친구 이야 젊다 입사 지다 안 돼다 거 기다 전 합격 지금 합격 인생 향 방이 이렇게 달라지다 앞 그게 더 심해지다 이고 회식 참석 친구 앞 어떻다 되다 지다 모르다 거지 나다 살아나다 위해 서 정말 고민 많다 분투 중이 다
좌우 국회의원 대체 되다
아마 많다 취준생들 거 라고 봄 너무 밝다 얘기 더 슬프다
창 근 님 대표 님 칭찬 주 니까 허리 펴다 모습 귀엽다
협회 지금 자격증 장사 중
원래 대 전 환기 에는 당연하다 발생 일이 잖다 스마트폰 나오니 삐삐 공장 파산하다 나오니 전문직 필요없다 세상 변하다 어쩔 수
때문 신입 취업 어렵다 아우성치다 정작 들어오다 없다 못 더 심해지다 요즘 엔 레포트 내다 친구 들어오다 점
날 갈수록 미치다 초면 끝나다 세상
공인 회계사 예전 쯤 학교 교수 님 없어지다 직종 이라 들다 당시 만해 엄청 유망 해보다 게 지금 실화 되다
쓸모없다 변호사 다 필요없다 소장 알다 써주다 변호사 소장 대충 쓰다 받다 감
회계사 세무사 법무사 이제 끝나다 감 법무사 신고 서식 간 펀하다 보급 되어다 야하다 비싸다 수수료 처리 함
